Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,第,18,週 生 產 計 畫,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,製令單號,料號,,,重要訂單
2024-12-25 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-25 00:00:00,,,,,,,,,,,,,,,9,,,,,
,,,,2024-12-25 00:00:00,(三)  生產狀況,,,,936,,,,,當日總工時(min),2704.0999999999995,OVER,,,,
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,,,,,
2024-12-26 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-26 00:00:00,,VIP,91N125010231,91-7A104-2170,AmITX-KB-G-Q170/ITS i5,2024-12-25 00:00:00,尾數,150,12,150,5.6,卡OK*12,2024-12-24 00:00:00,(12/23) 一箱6片,76.19999999999999,85N125010229,85-7A104-2140,,,
2024-12-26 00:00:00,,,91E125010067,91-72217-220E,cExpress-EL-x6211E/TPM2.0/US,2024-12-25 00:00:00,,6,6,6,1.4,卡OK,2024-12-18 00:00:00,(12/23),17.4,59E125010067,59-72217-220E,,,
2024-12-26 00:00:00,,VIP,91E124120363,91-66038-101E,Itr SBR CB+nanoX-BT-E3805-2G/32G/Itr+HS,2024-12-25 00:00:00,尾數,170,10,170,1.4,卡OK*6+PASS*4,2024-12-05 00:00:00,(12/21) 一箱20台,23,85E124120266,85-66038-101E,,,
2024-12-26 00:00:00,,VIP,91N125010125,AG-M9038-60001,M9038-60001,2024-12-25 00:00:00,尾數,39,2,39,10,PASS*2,2024-12-23 00:00:00,(12/21),29,85N125010273,85-63539-0030,,,
2024-12-26 00:00:00,,,91E124120284,91-72215-050E,cExpress-KL-i7-7600U/TPM2.0/US,2024-12-26 00:00:00,,48,48,48,1.4,PASS,2024-12-23 00:00:00,(12/24),76.19999999999999,59E124120283,59-72215-050E,,,
2024-12-26 00:00:00,,,91N124110537,91-72512-6010,LEC-iMX8MP-Q-N-4G-32G-CT,2024-12-26 00:00:00,,6,6,6,1.4,卡OK,2024-12-23 00:00:00,(12/24),17.4,59N124110537,59-72512-6010,,,
2024-12-26 00:00:00,,,91E125020034,58-99558-000E,simple pack for CSA-7211 MB C621,2024-12-26 00:00:00,尾數,20,5,20,5,卡OK,2024-12-12 00:00:00,(12/25) 一箱5台,34,59E125020034,59-65531-005E,,,
2024-12-26 00:00:00,,,91N125010024,91-72128-4350,ASH-SL-i3-6100E/S4G/JRC-ETT,2024-12-31 00:00:00,,249,249,249,1.4,卡OK*245+PASS*4,2024-12-16 00:00:00,(12/23),357.59999999999997,85N124120366,85-72128-4350,,,
2024-12-26 00:00:00,,,91E124120268,91-79030-002E,Aristocrat Gen10 Backplane,2024-12-30 00:00:00,,270,270,270,1.4,卡OK,2024-12-09 00:00:00,(12/24*130+12/25*130),387,55E125010003,55-79030-004E,,,
2024-12-26 00:00:00,,,ZPR124120015,59-65639-004E,WeRide GU BOX Lan board-base T1,2024-12-27 00:00:00,,56,50,50,1.4,卡OK*52+PASS*10+NG*2,2024-12-12 00:00:00,簡易包裝 (12/24),79,59E124110265,59-65639-004E,,,
2024-12-26 00:00:00,,VIP,91N125010279,AG-M9038-60001,M9038-60001,2024-12-27 00:00:00,,49,36,36,10,PASS,2024-12-23 00:00:00,(12/24),369,85N125010278,85-63539-0030,,,
2024-12-26 00:00:00,,,91N125010129,91-72135-6310,Express-CFR-E-2254ML/TPM2.0/CWC,2024-12-31 00:00:00,,52,52,52,1.4,卡OK,2024-12-09 00:00:00,(12/23),81.8,59N125010129,59-72135-6310,,,
2024-12-26 00:00:00,,,91E124050436,91-72139-Q03E,t1Express-RLP-i7-13800HRE,2024-12-31 00:00:00,,12,12,12,1.4,卡OK,2024-12-16 00:00:00,(12/23),25.799999999999997,59E124050428,59-72139-Q03E,,,
2024-12-26 00:00:00,,VIP,91E124110122,91-77522-106E,ASH-CECAR-ARIS-CF-i3-8100H,2024-12-30 00:00:00,,240,240,240,1.7,卡OK*40+PASS*110+,2024-12-20 00:00:00,(12/25),417,85E124110122,85-77522-106E,,,
2024-12-26 00:00:00,,VIP,91N125010223,90-20065-1020,"NEON-202B-JT2-X Starter Kit, 1.9M, 60fps",2024-12-27 00:00:00,,5,5,5,4.8,卡OK,2024-12-25 00:00:00,(12/25),33,93N125010223,93-51047-1010,,,
2024-12-26 00:00:00,,VIP,91N124100573,91-72215-1140,cExpress-KL-i5-7300U/SMD,2024-12-30 00:00:00,,100,54,54,1.6,卡OK*45+PASS*9+待測*1,2024-12-24 00:00:00,(12/23),95.4,59N124100573,59-72215-1140,,,
2024-12-26 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-26 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-26 00:00:00,,,,,,,,,,,,,,,9,,,,,
,,,,2024-12-26 00:00:00,(四)    生產狀況,,,,1057,,,,,當日總工時(min),2154.7999999999997,OVER,,,,
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,,,,,
2024-12-27 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-27 00:00:00,,,91R124100027,91-18253-1030,PCIe-9814P,2024-12-27 00:00:00,,1,1,1,1.4,PASS,,(12/25),10.4,,,,,
2024-12-26 00:00:00,,,ZPR124120015,59-65639-004E,WeRide GU BOX Lan board-base T1,2024-12-27 00:00:00,尾數,56,6,56,1.4,卡OK*52+PASS*10+NG*2,2024-12-12 00:00:00,簡易包裝 (12/24),17.4,59E124110265,59-65639-004E,,,
2024-12-27 00:00:00,,VIP,91N125010279,AG-M9038-60001,M9038-60001,2024-12-27 00:00:00,尾數,49,13,49,10,卡OK,2024-12-23 00:00:00,(12/24),139,85N125010278,85-63539-0030,,,
2024-12-27 00:00:00,,VIP,91E124120132,91-72518-010E,LEC-RB5N-8G-128G-R,2024-12-27 00:00:00,,30,30,30,1.4,卡OK,2024-12-20 00:00:00,(12/25),51,59E124120132,59-72518-010E,,,
2024-12-27 00:00:00,,,91E124120176,91-76005-200E,Q7-EL-6413E-8G-64G-ER,2024-12-27 00:00:00,,1,1,1,1.4,卡OK,2024-12-23 00:00:00,(12/25),10.4,59E124120176,59-76005-203E,,,
2024-12-27 00:00:00,,,91N125010155,91-72513-1110,LEC-EL-6211-8G-128G-TPM-ER,2025-01-06 00:00:00,,34,34,34,1.4,卡OK,2024-12-23 00:00:00,(12/25),56.599999999999994,59N125010155,59-72513-1110,,,
2024-12-27 00:00:00,,,91N125010082,91-72128-10CS,t2Express-SL-i7-6822EQ,2025-01-06 00:00:00,,2,2,2,1.4,卡OK,2024-12-23 00:00:00,(12/24),11.8,85N125010082,85-72128-10CS,,,
2024-12-27 00:00:00,,VIP,91E124110124,91-77522-106E,ASH-CECAR-ARIS-CF-i3-8100H,2024-12-30 00:00:00,,200,200,200,1.7,卡OK*115+PASS*63+,2024-12-20 00:00:00,(12/26),349,85E124110125,85-77522-106E,,,
2024-12-27 00:00:00,,,91N124100620,91-77104-1180-10,Starterkit-COM Express 6 PLUS,2024-12-30 00:00:00,,6,6,6,5,卡OK,2024-12-26 00:00:00,(12/24),39,59N124100620,59-77104-00G0,,,
2024-12-27 00:00:00,,,91E124120339,91-79030-002E,Aristocrat Gen10 Backplane,2024-12-31 00:00:00,,300,300,300,1.4,卡OK,2024-12-26 00:00:00,(12/25),429,55E125010003,55-79030-004E,,,
2024-12-27 00:00:00,,,91N125010067,91-72217-1310,cExpress-EL-X6413E/eDP/Sigmatek,2024-01-07 00:00:00,,100,100,100,1.4,卡OK,2024-12-09 00:00:00,(12/21),149,59N125010067,59-72217-1310,,,
2024-12-27 00:00:00,,VIP,91E125010082,91-72513-K20E,LEC-EL-6425RE-16G-64G-TPM-ER/CWC,2025-01-07 00:00:00,,6,6,6,1.4,卡OK,2024-12-09 00:00:00,(12/25),17.4,59E125010082,59-72513-K20E,,,
2024-12-27 00:00:00,,,91N125010187,91-72512-4010,LEC-iMX8MP-QL-2G-16G-ER,2025-01-09 00:00:00,,6,6,6,1.4,卡OK,2024-12-06 00:00:00,(12/25),17.4,59N125010187,59-72512-4010,,,
2024-12-27 00:00:00,,,91N125010145,91-72512-1010,LEC-iMX8MP-Q-N-4G-32G-ER,2025-01-08 00:00:00,,5,5,6,1.4,卡OK*5+AN77*1,2024-12-06 00:00:00,(12/26),16,59N125010145,59-72512-1010,,,
2024-12-27 00:00:00,,VIP,91E125010173,91-72519-X01E,LEC-ASL-x7211RE-4G-32G-ER,2024-12-30 00:00:00,,6,6,6,1.4,卡OK,2024-12-26 00:00:00,(12/26),17.4,59E125010173,59-72519-X02E,,,
2024-12-27 00:00:00,,VIP,91N125010057,91-72132-0120,Express-DN7-C3808/FJT,2025-01-07 00:00:00,,101,99,99,1.4,卡OK*45+PASS*54+待測*1+NG*1,2024-12-24 00:00:00,(12/24),147.6,59N125010057,59-72132-0120,,,
2024-12-27 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-27 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-27 00:00:00,,,,,,,,,,,,,,,9,,,,,
,,,,2024-12-27 00:00:00,(五)    生產狀況,,,,815,,,,,當日總工時(min),1514.4,NOT ENOUGH,,,,
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,,,,,
2024-12-28 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-28 00:00:00,,,,12/28不排加班,,,,,,,,,,,9,,,,,
2024-12-28 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-28 00:00:00,,,91N124120185,91-95177-1010,HTS-SL-BT,2024-01-03 00:00:00,,201,201,201,1.6,,2024-12-15 00:00:00,無卡,330.6,,,,,
2024-12-28 00:00:00,,,91N125010356,91-95318-5010,THSF-TL-BL,2024-01-03 00:00:00,,9,9,9,1.4,,2024-12-18 00:00:00,無卡,21.6,,,,,
2024-12-28 00:00:00,,,91N125010400,91-95303-1010,THS-sEL,2024-01-06 00:00:00,,6,6,6,5,,2024-12-18 00:00:00,無卡,39,,,,,
2024-12-28 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-28 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-28 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-28 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-28 00:00:00,,,,,,,,,,,,,,,9,,,,,
2024-12-28 00:00:00,,,,,,,,,,,,,,,9,,,,,
,,,,2024-12-28 00:00:00,(六)    生產狀況,,,,216,,,,,當日總工時(min),472.20000000000005,NOT ENOUGH,,,,
,,,,,,,,總數量,5200,,,,,,11275.8,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,移除排程,,,,,,,,,,,,,,,,,
2024-12-26 00:00:00,,VIP,91E124110152,91-38205-200E,PXIe-9529H,2024-12-26 00:00:00,,12,12,,1.4,,2024-12-23 00:00:00,(12/24),25.799999999999997,85E124120310,85-38205-200E,,,
2024-12-27 00:00:00,,,91R124120028,91-18253-1030,PCIe-9814P,2024-12-27 00:00:00,,12,12,,1.4,異常,,(12/25),25.799999999999997,,,,,
