第4週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
1/24  (五)  加工4 主線15  (8740)  測試支援2人外勞尾牙不能加班,,,,,,,,,,168,,,,7193.25,當日總工時,1227,5798.25,
,,,,,,,,,,150,,,,2635.5,IPC,1227,1258.5,
,,,,,,,,,預計生產,18,,,,4557.75,IDS,0,4539.75,
,,,,,,,,,465,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2025-01-25 00:00:00,,E,,,,,,,,,,,,,,0,0,
2025-01-25 00:00:00,,A,93E125020006,93-80211-301,cPCIS-6235R/64,2025-02-06 00:00:00,2025-01-22 00:00:00,30,30,21,5,67,,,,150,2010,93-80211-30
2025-01-25 00:00:00,未投過,D,93E125010032,93-98002-110E,ADi-SA3X-CL-EABF/AGS,2025-03-26 00:00:00,2025-01-21 00:00:00,20,1,27,12,25,,,1+N,12,25,93-98002-11
2025-01-25 00:00:00,,A,93N125010458,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-02-07 00:00:00,2025-01-21 00:00:00,179,74,18,0,32.95,,,,0,2438.3,93-F0114-01
2025-01-25 00:00:00,,A,93N124100625,93-F0114-0020,Verint Edge NVR w/24 ports,2025-02-11 00:00:00,2025-01-23 00:00:00,150,21,18,0,32.95,,,,0,691.95,93-F0114-00
2025-01-25 00:00:00,,D,93E125010284,IPC-003N5-Q008,RK609W-9E2-E43_IQ008,2025-02-06 00:00:00,2025-01-24 00:00:00,1,1,21,4,54,,,,4,54,IPC-003N5-Q
2025-01-25 00:00:00,,D,93E124120347,TPC-41035-0920,TPC-41035-0920 (MXC-6401D),2025-02-07 00:00:00,2025-01-22 00:00:00,4,4,18,0,30,,,,0,120,TPC-41035-0
2025-01-25 00:00:00,,A,93N125010464,93-F0114-0020,Verint Edge NVR w/24 ports,2025-02-10 00:00:00,2025-01-23 00:00:00,100,100,18,0,32.95,,,,0,3295.0000000000005,93-F0114-00
2025-01-25 00:00:00,,E,,,,,,,,,,,,,,0,0,
2025-01-25 00:00:00,,A,,,,,,,,,,,,,,0,0,
1/25  (六) ,,,,,,,,,預計生產,93,,,,8893.25,當日總工時,166,8634.25,
,,,,,,,,,200,,,,,,日班當日工時,,0,
,,,,,,,,,,,,,,,晚班當日工時,,,
,,,,,,,,,,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2025-01-26 00:00:00,,A,,,,,,,,,,,,,,0,0,
2025-01-26 00:00:00,,B,,,,,,,,,,,,,,0,0,
2025-01-26 00:00:00,,B,,,,,,,,,,,,,,0,0,
2025-01-26 00:00:00,,B,,,,,,,,,,,,,,0,0,
1/26 (日) ,,,,,,,,,預計生產,,,,,0,當日總工時,0,0,
,,,,,,,,,0,,,,,,日班當日工時,,,
,,,,,,,,,,,,,,,晚班當日工時,,,
,,,,,,,,,,,,,,,NOT ENOUGH,,,
