Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,1/23,,A,,59N124110542,MXM-T1000,59-7C003-1040,1A2,2/10,2/5,40,,41,32,73,48.666666666666664,60,108.66666666666666,2025-02-06 00:00:00,,,,純SMT,2,2025-01-08 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1429.3333333333335,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,55E125020023,Aristocrat Gen10 Carrier,55-77522-002E,A2,2/7,1/23,210,,27.5,38.8,66.3,232.05,0,232.05,2025-02-06 00:00:00,357,,,Kim,1,2024-12-28 00:00:00,,重要工單,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,1/20,,E,,55E125020183,Aristocrat Gen10 Carrier,55-77522-002E,A2,2/8,1/23,160,200,27.5,38.8,66.3,176.8,0,176.8,2025-02-06 00:00:00,272,,,Kim,1,2024-12-28 00:00:00,,重要工單,
,,,,,,,,2/6,,,,,,,,,,,Total,,,408.85,629,,,,,,,,,
,,,,,1/14,,B,,55N125020186,Express-TL-i5-11500HE/SSM,55-72138-3220,A2,2/8,2/3,100,,51.44,58.62,110.06,183.43333333333334,40,223.43333333333334,2025-02-07 00:00:00,,,,純SMT(2/8上午接測),2,2025-01-09 00:00:00,,,
,,,,,1/3,,B,,59N125020127,LEC-iMX8MM-Q-2G-32G-ER/TA,59-72517-1510,A1,2/12,1/24,400,,41.9,32.4,74.3,495.3333333333333,40,535.3333333333333,2025-02-07 00:00:00,,,,純SMT(2/8上午接測),2,2024-12-17 00:00:00,,,
,,,,,,,B,,55N124120463,NVR MB,55-65537-0020,A2,2/8,1/23,70,,71,112,183,213.5,40,253.5,2025-02-07 00:00:00,,,,,1,2024-12-27 00:00:00,,,
,,,,,1/24,,B,,59N125020032,ADi-BSB1,59-7B501-0040,A1,2/12,2/3,292,,15,30,45,219,40,259,2025-02-07 00:00:00,,,,,2,2024-12-24 00:00:00,,重要工單,
,,,,,1/14,,B,,59N125020134,ETX-BT-E3825-NO AUDIO,59-71116-A030,B4,2/11,2/6,46,,52,38,90,69,60,129,2025-02-07 00:00:00,,,,純SMT,2,2025-01-03 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1400.2666666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,●,A,,55E125010239,RTX V4H carrier board for Renesas,55-E0058-001E,A2,2/11,2/6,7,,110,205,315,36.75,80,140,2025-02-07 00:00:00,,,,Tensey,1,2025-01-17 00:00:00,,,DEV-0053286
,,,,,,,A,,55E124110303,UBI Carrier board,55-65646-002E,A3,2/10,2/6,10,,25,38,63,10.5,80,90.5,2025-02-07 00:00:00,,,,Joanne,1,2025-01-24 00:00:00,,,DEV-0053011、DEV-0053116
,,,,,,,A,,55E125020147,COM-HPC-cRLS-R680E-MAX-4DIMM,55-73301-010E,A3,2/10,1/16,8,,58,55,113,15.066666666666666,60,85,2025-02-07 00:00:00,,,,Cindy,1,2024-12-20 00:00:00,,,
,,,,,1/3,,A,,55E125020173,"SP-AL,E3930,RES,12V,no IO, DMI-1210",55-A1021-4180,A4,2/10,2/5,47,,48,65,113,88.51666666666667,40,128.51666666666665,2025-02-07 00:00:00,,,,Agnes,1,2024-12-30 00:00:00,,,
,,,,,1/24,,A,,59N125010322,UNP MiniBase-10R,59-77805-0040,B1,2/11,2/4,6,,35,30,65,6.5,60,85,2025-02-07 00:00:00,,,,(掃貨驗證:71-09403-00W0),1,2024-12-27 00:00:00,,,
